City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
15,bathsheba,BB,81.21,few clouds,13.2167,-59.5167,Atlantis Hotel
18,kapaa,US,82.38,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
36,huilong,CN,78.98,broken clouds,31.8111,121.655,Hilton Garden Inn Qidong
42,jacksonville beach,US,80.73,broken clouds,30.2947,-81.3931,Courtyard by Marriott Jacksonville Beach Oceanfront
46,chillicothe,US,82.89,clear sky,39.3331,-82.9824,Holiday Inn Express Chillicothe East
49,atuona,PF,78.3,scattered clouds,-9.8,-139.0333,Villa Enata
50,hilo,US,78.8,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
68,sabha,LY,82.29,clear sky,27.0377,14.4283,Foundation Taaj Asala for Historical Research and Archeology
69,butaritari,KI,83.05,broken clouds,3.0707,172.7902,Isles Sunset Lodge
85,ichchapuram,IN,79.09,overcast clouds,19.1167,84.7,Ashi home
88,sao filipe,CV,79.84,overcast clouds,14.8961,-24.4956,Hotel Xaguate
93,khuzdar,PK,78.17,clear sky,27.7384,66.6434,jhalwan Rent A Car Moola Chotok Boking Office
98,umm lajj,SA,83.07,clear sky,25.0213,37.2685,Moon light Furnished Units
108,georgetown,MY,78.73,scattered clouds,5.4112,100.3354,Cititel Penang
110,port moresby,PG,78.22,scattered clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
120,poso,ID,81.19,overcast clouds,-1.3959,120.7524,Hotel 77 Poso
137,mount isa,AU,80.37,few clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
140,punto fijo,VE,83.37,clear sky,11.6956,-70.1996,Santa Fe Inn Hotel
147,hithadhoo,MV,82.06,overcast clouds,-0.6,73.0833,Scoop Guest House
154,ajdabiya,LY,81.79,clear sky,30.7554,20.2263,Almadina Hotel
156,charlottesville,US,79.47,clear sky,38.0293,-78.4767,Hampton Inn & Suites Charlottesville-At The University
158,sola,VU,84.87,broken clouds,-13.8833,167.55,Leumerus Bungalows
159,sorong,ID,80.47,moderate rain,-0.8833,131.25,waigo splash hotel
167,sinnamary,GF,80.06,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
172,ugoofaaru,MV,82.04,scattered clouds,5.6667,73.0,Ungoofaaru Inn
175,cockburn town,TC,82.69,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
176,catuday,PH,79.75,overcast clouds,16.2923,119.8062,Benjie's Kubo & Cottages
181,awjilah,LY,83.08,clear sky,29.1081,21.2869,
189,lompoc,US,83.21,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
196,avarua,CK,80.65,few clouds,-21.2078,-159.775,Paradise Inn
201,kavieng,PG,84.25,broken clouds,-2.5744,150.7967,Nusa Island Retreat
214,kalmunai,LK,79.7,broken clouds,7.4167,81.8167,VS Villa
217,vanimo,PG,82.35,light rain,-2.6741,141.3028,Vahmoneh Lodge Vanimo
229,eyl,SO,78.22,broken clouds,7.9803,49.8164,Amiin Hotel
232,agadez,NE,83.98,clear sky,19.75,10.25,
242,kieta,PG,83.89,light rain,-6.2167,155.6333,Uruna Bay Retreat
243,wanning,CN,82.56,scattered clouds,18.8003,110.3967,Paradise Hotel
