,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,lagoa,PT,39.05,-27.9833,68.65,63,63,12.15,broken clouds
1,ribeira grande,PT,38.5167,-28.7,70.05,68,38,11.3,scattered clouds
2,ushuaia,AR,-54.8,-68.3,40.66,87,75,27.63,moderate rain
3,jamestown,US,42.097,-79.2353,67.59,73,1,2.95,clear sky
4,lambarene,GA,-0.7001,10.2406,74.07,91,100,3.51,light rain
5,bredasdorp,ZA,-34.5322,20.0403,51.28,87,0,4.61,clear sky
6,loei,TH,17.4167,101.5,63.77,95,100,0.36,overcast clouds
7,zhob,PK,31.3411,69.4481,76.78,49,0,0.74,clear sky
8,punta arenas,CL,-53.15,-70.9167,41.11,87,40,8.05,scattered clouds
9,san patricio,US,28.017,-97.5169,94.53,55,1,14.74,clear sky
10,artyom,AZ,40.4723,50.333,68.14,64,0,7.2,clear sky
11,busselton,AU,-33.65,115.3333,48.09,72,0,12.35,clear sky
12,hobart,AU,-42.8794,147.3294,48.06,79,75,7.0,broken clouds
13,souillac,MU,-20.5167,57.5167,70.18,56,20,6.91,few clouds
14,mar del plata,AR,-38.0023,-57.5575,55.42,100,90,9.22,overcast clouds
15,bathsheba,BB,13.2167,-59.5167,81.21,74,20,1.14,few clouds
16,reconquista,AR,-29.15,-59.65,85.75,49,91,9.93,overcast clouds
17,ust-kuyga,RU,70.0167,135.6,32.7,53,52,4.23,broken clouds
18,kapaa,US,22.0752,-159.319,82.38,77,75,5.99,broken clouds
19,planovskoye,RU,43.3985,44.1949,57.04,79,41,3.47,scattered clouds
20,kendari,ID,-3.945,122.4989,74.23,97,100,3.62,overcast clouds
21,trinidad,BO,-14.8333,-64.9,85.98,70,75,0.0,smoke
22,rikitea,PF,-23.1203,-134.9692,73.96,76,4,11.95,clear sky
23,hermanus,ZA,-34.4187,19.2345,56.89,77,1,13.73,clear sky
24,tocopilla,CL,-22.092,-70.1979,62.78,72,61,11.12,broken clouds
25,tigil,RU,57.8,158.6667,56.23,58,82,9.66,broken clouds
26,bonavista,CA,48.6499,-53.1147,56.12,97,100,21.61,moderate rain
27,kodiak,US,57.79,-152.4072,48.88,69,96,6.82,overcast clouds
28,kindersley,CA,51.4668,-109.1682,64.42,32,75,12.66,broken clouds
29,turukhansk,RU,65.8167,87.9833,37.6,91,97,1.99,overcast clouds
30,esperance,AU,-33.8667,121.9,53.44,59,53,11.81,broken clouds
31,faanui,PF,-16.4833,-151.75,77.9,75,71,17.67,light rain
32,daru,PG,-9.0763,143.2092,77.97,89,99,17.38,overcast clouds
33,santa cruz,BO,-17.8,-63.1667,86.05,54,28,13.8,scattered clouds
34,mataura,NZ,-46.1927,168.8643,57.47,53,69,7.49,broken clouds
35,bluff,NZ,-46.6,168.3333,57.79,65,84,15.59,broken clouds
36,huilong,CN,31.8111,121.655,78.98,91,71,16.02,broken clouds
37,machico,PT,32.7,-16.7667,72.72,81,40,16.11,scattered clouds
38,sena madureira,BR,-9.0656,-68.6569,76.23,81,62,3.29,broken clouds
39,yellowknife,CA,62.456,-114.3525,52.32,54,75,6.91,broken clouds
40,ekhabi,RU,53.5102,142.9671,53.98,53,35,22.3,scattered clouds
41,nikolskoye,RU,59.7035,30.7861,41.02,79,100,9.13,overcast clouds
42,jacksonville beach,US,30.2947,-81.3931,80.73,86,75,1.99,broken clouds
43,khatanga,RU,71.9667,102.5,31.57,98,100,12.3,snow
44,puerto ayora,EC,-0.7393,-90.3518,69.55,93,72,7.0,broken clouds
45,vrangel,RU,42.7297,133.0839,66.76,72,99,15.88,overcast clouds
46,chillicothe,US,39.3331,-82.9824,82.89,56,1,0.0,clear sky
47,biankouma,CI,7.7391,-7.6138,68.83,98,87,2.89,light rain
48,east london,ZA,-33.0153,27.9116,60.75,82,13,8.84,few clouds
49,atuona,PF,-9.8,-139.0333,78.3,76,30,21.18,scattered clouds
50,hilo,US,19.7297,-155.09,78.8,76,90,0.0,light rain
51,wattegama,LK,6.7989,81.4808,76.15,89,32,3.27,scattered clouds
52,saint-francois,FR,46.4154,3.9054,58.48,94,75,10.36,broken clouds
53,bambous virieux,MU,-20.3428,57.7575,70.05,56,20,6.91,few clouds
54,castro,BR,-24.7911,-50.0119,64.9,92,48,3.98,scattered clouds
55,senno,RU,59.5336,33.9167,37.09,79,100,10.09,overcast clouds
56,norman wells,CA,65.282,-126.8329,51.84,58,75,6.91,broken clouds
57,lebu,CL,-37.6167,-73.65,49.48,76,1,16.26,clear sky
58,cape town,ZA,-33.9258,18.4232,57.61,86,75,1.99,light rain
59,kuantan,MY,3.8077,103.326,75.31,94,20,2.3,few clouds
60,codrington,AU,-38.2667,141.9667,47.79,84,60,22.95,light rain
61,vestmannaeyjar,IS,63.4427,-20.2734,51.28,96,100,29.28,overcast clouds
62,alofi,NU,-19.0595,-169.9187,76.89,83,0,6.91,light rain
63,araouane,ML,18.9048,-3.5265,95.7,15,6,8.03,clear sky
64,kang,BW,-23.6752,22.7876,68.2,40,49,9.95,scattered clouds
65,nykirke,DE,54.8667,8.7333,55.49,74,91,8.03,overcast clouds
66,vaini,TO,-21.2,-175.2,77.16,78,20,11.5,few clouds
67,cherskiy,RU,68.75,161.3,32.88,52,61,7.49,broken clouds
68,sabha,LY,27.0377,14.4283,82.29,22,0,8.41,clear sky
69,butaritari,KI,3.0707,172.7902,83.05,67,69,14.54,broken clouds
70,mayo,US,38.8876,-76.5119,75.61,73,1,4.61,clear sky
71,kayerkan,RU,69.3497,87.7602,30.6,92,100,19.17,light snow
72,pasighat,IN,28.0667,95.3333,74.84,87,0,2.42,clear sky
73,taltal,CL,-25.4,-70.4833,60.71,77,13,2.35,few clouds
74,longyearbyen,SJ,78.2186,15.6401,39.04,93,75,3.44,broken clouds
75,leshukonskoye,RU,64.8989,45.7622,38.26,75,100,4.63,overcast clouds
76,upernavik,GL,72.7868,-56.1549,25.77,66,77,8.28,broken clouds
77,biltine,TD,14.5333,20.9167,86.22,39,74,4.43,broken clouds
78,cariamanga,EC,-4.3333,-79.55,65.17,69,80,3.83,light rain
